,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
17429,54051963.0,VH | UBICACION ROMA+WIFI+Patio | 165,17875052,SebastiÃ¡n,Unknown,CuauhtÃ©moc,19.404623,-99.166222,Entire home/apt,1942.0,1.0,3.0,15/05/2022,0.7,24.0,220.0,3.0
17431,54054117.0,Acogedor departamento en la mejor zona de CDMX!,324002628,Yamila,Unknown,CuauhtÃ©moc,19.41076,-99.16102,Entire home/apt,889.0,1.0,7.0,28/05/2022,1.69,3.0,361.0,7.0
17432,54054918.0,Lujoso departamento en Be Grand Alto Polanco,141715151,Carlos Potes,Unknown,Miguel Hidalgo,19.43895,-99.18262,Entire home/apt,3500.0,2.0,0.0,No_reviews,0.0,1.0,171.0,0.0
17433,54055029.0,Beautiful Penthouse in the heart of Condesa,270372408,Andres,Unknown,CuauhtÃ©moc,19.41594,-99.17826,Entire home/apt,2758.0,2.0,22.0,05/06/2022,3.86,18.0,84.0,22.0
17434,54055348.0,Airport RnR,438073987,Rosalba,Unknown,Venustiano Carranza,19.42033,-99.09149,Entire home/apt,700.0,1.0,39.0,19/06/2022,6.92,1.0,345.0,39.0
17435,54056696.0,Luxury 2-bedroom in building with full amenities.,438092022,Lucia,Unknown,CoyoacÃ¡n,19.30695,-99.16317,Entire home/apt,2000.0,1.0,9.0,03/06/2022,1.99,1.0,359.0,9.0
17436,54057046.0,C30-6 iluminado y espacioso departamento,31540218,Roy,Unknown,CuauhtÃ©moc,19.4058,-99.17542,Entire home/apt,1097.0,2.0,4.0,25/04/2022,0.71,14.0,191.0,4.0
17438,54057580.0,Brand-New & Full Apartment in Alamos Neighborhood,50210865,Jairo,Unknown,Benito JuÃ¡rez,19.39728,-99.1428,Entire home/apt,1045.0,1.0,12.0,16/06/2022,3.16,5.0,365.0,12.0
17439,53877341.0,Departamento nuevo en zona cÃ©ntrica de la ciudad,73961397,Hugo,Unknown,Benito JuÃ¡rez,19.38344,-99.18236,Entire home/apt,1281.0,3.0,8.0,31/05/2022,2.02,2.0,81.0,8.0
17440,54057718.0,VH | COMFY LOFT w/Parking & Fast WIFI | Great Location | 65,382880251,Carcho,Unknown,Miguel Hidalgo,19.442533,-99.1856,Entire home/apt,1199.0,1.0,13.0,01/05/2022,2.44,44.0,159.0,13.0
17441,53967823.0,2BR APT with great decor and location in Roma zone,436819476,Leticia,Unknown,CuauhtÃ©moc,19.40534,-99.16225,Entire home/apt,1679.0,2.0,8.0,01/05/2022,1.75,1.0,348.0,8.0
17442,53877927.0,Urban jungle apartment + perfect location,435861717,Ivana,Unknown,CuauhtÃ©moc,19.43009,-99.16912,Entire home/apt,924.0,2.0,14.0,13/06/2022,3.23,1.0,298.0,14.0
17444,53878683.0,1BR Beautiful Apartment @Condesa,267983259,Marco,Unknown,CuauhtÃ©moc,19.41105,-99.17522,Entire home/apt,1189.0,2.0,5.0,02/06/2022,1.6,29.0,145.0,5.0
17445,53968476.0,Moderno departamento Familiar 2 estacionamientos,303446963,Ricardo,Unknown,CuauhtÃ©moc,19.45692,-99.12644,Entire home/apt,514.0,1.0,49.0,18/06/2022,8.86,1.0,260.0,49.0
17446,53879516.0,VH | CONDESA balcon+WIFI+FACIL CHECK IN |134,22758914,Raquel,Unknown,CuauhtÃ©moc,19.409094,-99.172218,Entire home/apt,3285.0,1.0,1.0,20/01/2022,0.19,128.0,61.0,1.0
17447,53879977.0,"New luxury, park view, serviced Loft | 1BD 1BA",26138529,Max,Unknown,Miguel Hidalgo,19.423641,-99.202797,Entire home/apt,1750.0,7.0,1.0,16/01/2022,0.19,5.0,252.0,1.0
17448,54064837.0,"Lindo apartamento  madera, zona segura anzures pol",438172515,Aurea,Unknown,Miguel Hidalgo,19.4348,-99.17545,Entire home/apt,999.0,3.0,0.0,No_reviews,0.0,1.0,355.0,0.0
17449,53880009.0,VH | CONDESA+FACIL check in+WIFI |194,22758914,Raquel,Unknown,CuauhtÃ©moc,19.409094,-99.172218,Entire home/apt,2945.0,1.0,15.0,28/05/2022,2.8,128.0,261.0,15.0
17451,53880777.0,VH | GRAN UBICACION CONDESA + 3BR + PATIO | 193,22758914,Raquel,Unknown,CuauhtÃ©moc,19.409094,-99.172218,Entire home/apt,2767.0,1.0,22.0,12/06/2022,3.59,128.0,244.0,22.0
17452,53881378.0,Acogedor departamento con jacuzzi en la terraza.,197352729,Francisco,Unknown,CoyoacÃ¡n,19.35571,-99.15703,Entire home/apt,800.0,3.0,0.0,No_reviews,0.0,1.0,171.0,0.0
17453,54065790.0,East Sunny Terrace Airy & Comfy,390967558,Condesa,Unknown,CuauhtÃ©moc,19.42065,-99.15496,Entire home/apt,1168.0,1.0,19.0,16/06/2022,3.73,10.0,354.0,19.0
17454,54065794.0,Cozy AMAZING Studio tub located Roma.,390967558,Condesa,Unknown,CuauhtÃ©moc,19.42119,-99.15487,Entire home/apt,1171.0,1.0,15.0,02/06/2022,2.63,10.0,78.0,15.0
17455,53968561.0,Dpto. con vista al Monumento a la RevoluciÃ³n,437179021,FÃ¡tima,Unknown,CuauhtÃ©moc,19.43573,-99.15247,Entire home/apt,2100.0,2.0,18.0,29/05/2022,3.6,1.0,324.0,18.0
17456,53969323.0,Mexico City Centre Ville,62245034,Roxana,Unknown,CuauhtÃ©moc,19.43013,-99.14632,Entire home/apt,600.0,2.0,6.0,30/05/2022,1.1,1.0,113.0,6.0
17457,53969964.0,"Yoga, Bed & Breakfast
MÃ©xico City ð§ð¼ââï¸ðâð²ð½",437186813,Alejandro Miguel,Unknown,Miguel Hidalgo,19.43855,-99.20202,Entire home/apt,524.0,1.0,0.0,No_reviews,0.0,1.0,90.0,0.0
17458,53970072.0,"loft en CoyoacÃ¡n,cÃ³modas amenidades #03CF",368595849,Claudia,Unknown,Benito JuÃ¡rez,19.36009,-99.16682,Entire home/apt,800.0,5.0,0.0,No_reviews,0.0,62.0,0.0,0.0
17459,53881436.0,ð  ideal para extranjeros familias o homeoffice.,310414448,Alice,Unknown,La Magdalena Contreras,19.32509,-99.22871,Entire home/apt,1111.0,5.0,0.0,No_reviews,0.0,3.0,324.0,0.0
17460,54065966.0,VH | Gran UBICACION ROMA en Depa c/2REC |166,17875052,SebastiÃ¡n,Unknown,CuauhtÃ©moc,19.404623,-99.166222,Entire home/apt,1622.0,1.0,11.0,12/06/2022,2.32,24.0,180.0,11.0
17461,53881734.0,Lavande No. 270 Apartment,380435469,H&S Rent,Unknown,Gustavo A. Madero,19.500906,-99.123024,Entire home/apt,1650.0,2.0,6.0,20/06/2022,2.2,5.0,353.0,6.0
17464,53970367.0,Lovely 2-bedroom apartment nearby Paseo de Reforma,156085152,Mega,Unknown,CuauhtÃ©moc,19.43247,-99.16187,Entire home/apt,1904.0,2.0,7.0,20/03/2022,1.2,16.0,362.0,7.0
17465,53882867.0,3 story house w/terrace in the heart of Polanco,43542050,Maby,Unknown,Miguel Hidalgo,19.43122,-99.18865,Entire home/apt,2435.0,2.0,10.0,05/06/2022,2.21,3.0,348.0,10.0
17466,53888462.0,Mr. W | Park View | Balcony | 2BR,10764020,Mr. W,Unknown,CuauhtÃ©moc,19.41672,-99.17219,Entire home/apt,2575.0,1.0,14.0,17/04/2022,2.39,170.0,340.0,14.0
17467,53889192.0,Malintzin Depto. cerca del Centro de CoyoacÃ¡n,105599171,Carmen,Unknown,CoyoacÃ¡n,19.35295,-99.1548,Entire home/apt,1209.0,2.0,8.0,21/05/2022,1.39,1.0,319.0,8.0
17469,53891585.0,Luxurious 2BD with pool and gym,178427450,Rodrigo,Unknown,CuauhtÃ©moc,19.413677,-99.165466,Entire home/apt,2744.0,2.0,12.0,30/05/2022,2.06,12.0,315.0,12.0
17470,53970957.0,Nordic style apartment in Roma Norte,60203647,Alex Y May,Unknown,CuauhtÃ©moc,19.414141,-99.16436,Entire home/apt,1026.0,1.0,9.0,29/05/2022,1.49,10.0,341.0,9.0
17472,53891663.0,Dpto con hermosa vista a la cuidad a 5 minutos ð©ï¸,436540389,Jorge Enrique,Unknown,Venustiano Carranza,19.44075,-99.10544,Entire home/apt,499.0,1.0,2.0,14/05/2022,0.64,1.0,365.0,2.0
17476,53893692.0,Casa de los Pajaros,1492302,Priscila,Unknown,Tlalpan,19.28187,-99.18095,Entire home/apt,4830.0,1.0,5.0,28/05/2022,1.03,3.0,225.0,5.0
17477,53972348.0,"Luxury Two Floor Apt In Polanco, Best Roof Top",5126969,Jose Alfonso,Unknown,Miguel Hidalgo,19.42993,-99.18597,Entire home/apt,2728.0,2.0,3.0,02/05/2022,0.52,4.0,351.0,3.0
17479,54066766.0,w* | Spacious 2BR Duplex in Roma Norte,16148871,Juan,Unknown,CuauhtÃ©moc,19.42217,-99.162,Entire home/apt,2656.0,1.0,12.0,13/06/2022,2.25,34.0,331.0,12.0
17481,54068037.0,"Estudio Condesa, Wifi, gym, pool",359943588,Irene,Unknown,CuauhtÃ©moc,19.41726,-99.17681,Entire home/apt,1474.0,3.0,10.0,28/05/2022,1.78,12.0,298.0,10.0
17483,54068222.0,Charming 2-bedroom Apt. Near Reforma,438203923,Gina,Unknown,CuauhtÃ©moc,19.43216,-99.16821,Entire home/apt,1211.0,1.0,11.0,29/05/2022,2.01,1.0,336.0,11.0
17486,53901216.0,Casita Oaxaca-Amazing and cosy pent-garden in CDMX,31796079,Pablo,Unknown,Cuajimalpa de Morelos,19.39023,-99.26639,Entire home/apt,890.0,7.0,1.0,17/04/2022,0.45,1.0,0.0,1.0
17489,54068370.0,"Loft Condesa, Wifi, gym, alberca",359943588,Irene,Unknown,CuauhtÃ©moc,19.41599,-99.17897,Entire home/apt,1290.0,3.0,12.0,31/05/2022,2.26,12.0,354.0,12.0
17490,53903649.0,Casa Huitzilin: Terrace in cozy loft | CoyoacÃ¡n,22328573,Antonio,Unknown,CoyoacÃ¡n,19.34394,-99.16076,Entire home/apt,1400.0,3.0,16.0,17/06/2022,2.71,3.0,317.0,16.0
17493,53904385.0,Full Condo: 10BR/10BA w/fully equipped Rooftop.,56919106,Thiers,Unknown,Miguel Hidalgo,19.43433,-99.18013,Entire home/apt,10882.0,3.0,3.0,12/06/2022,1.38,2.0,320.0,3.0
17494,53983519.0,c1 Lovely 1-bedroom unit in Condesa Mexico City,447608469,Abraham,Unknown,CuauhtÃ©moc,19.40381,-99.16893,Entire home/apt,599.0,1.0,28.0,20/05/2022,4.72,26.0,290.0,28.0
17495,53986421.0,Cozy Studio Apt in the Heart of Roma Norte,72672594,J&M,Unknown,CuauhtÃ©moc,19.41892,-99.17228,Entire home/apt,1603.0,1.0,13.0,30/05/2022,2.55,11.0,52.0,13.0
17496,54068889.0,Contemporary two bedroom condo with parking.,106397719,Orlando,Unknown,Benito JuÃ¡rez,19.38517,-99.14666,Entire home/apt,1320.0,2.0,10.0,09/05/2022,2.75,1.0,305.0,10.0
17497,53904830.0,Â¡Hermoso depa con terraza en col. CuauhtÃ©moc!,160362988,Gaby,Unknown,CuauhtÃ©moc,19.43113,-99.16968,Entire home/apt,850.0,3.0,7.0,06/06/2022,1.27,3.0,362.0,7.0
17498,54069071.0,Departamento en el centro de la Ciudad de MÃ©xico,438211202,Axel,Unknown,Benito JuÃ¡rez,19.40236,-99.15978,Entire home/apt,699.0,2.0,1.0,25/03/2022,0.34,1.0,237.0,1.0
17499,53905256.0,"Departamento en Polanco, en magnÃ­fica zona!",108079806,Francisco Javier,Unknown,Miguel Hidalgo,19.43733,-99.203049,Entire home/apt,1299.0,2.0,10.0,29/04/2022,1.96,1.0,235.0,10.0
17500,54070962.0,Hermoso departamento a un paso de Polanco,32799848,Claudia,Unknown,Miguel Hidalgo,19.4443,-99.19566,Entire home/apt,1046.0,1.0,21.0,11/06/2022,4.2,1.0,355.0,21.0
17502,53993790.0,Tiny & cute | Heart of La Condesa |,416155974,YakarÃ©,Unknown,CuauhtÃ©moc,19.41025,-99.17488,Entire home/apt,1070.0,1.0,5.0,29/05/2022,0.85,11.0,354.0,5.0
17503,53905564.0,IncreÃ­ble departamento vacacional con jardÃ­n.,436575593,MarÃ­a Guadalupe,Unknown,Tlalpan,19.3032,-99.20294,Entire home/apt,2000.0,1.0,12.0,30/05/2022,2.02,1.0,357.0,12.0
17505,53996482.0,"Cozy 3 Bedrooms, 2 Baths Apartment in the Heart of Roma",72672594,J&M,Unknown,CuauhtÃ©moc,19.41513,-99.15692,Entire home/apt,1886.0,1.0,15.0,04/06/2022,2.76,11.0,289.0,15.0
17507,54072198.0,"Estudio Santa fe,  2 recamaras, Wifi, Alberca ,Gym",359943588,Irene,Unknown,Ãlvaro ObregÃ³n,19.38028,-99.25289,Entire home/apt,990.0,3.0,2.0,08/03/2022,0.47,12.0,365.0,2.0
17508,53907197.0,Gorgeous Roma Norte Loft Sanctuary on Best Street,299412544,Eric,Unknown,CuauhtÃ©moc,19.41767,-99.16283,Entire home/apt,2394.0,4.0,6.0,08/04/2022,1.03,1.0,35.0,6.0
17510,54073495.0,Apartamento de 2 recamaras cerca de Reforma,149181847,Andreina,Unknown,CuauhtÃ©moc,19.43244,-99.15459,Entire home/apt,1209.0,1.0,5.0,18/06/2022,4.69,1.0,336.0,5.0
17511,54074035.0,Loft Suite JuÃ¡rez Reforma a tres cuadras del Ãngel,245618000,Alejandra,Unknown,CuauhtÃ©moc,19.42467,-99.16837,Entire home/apt,1019.0,1.0,32.0,10/06/2022,5.82,45.0,85.0,32.0
17512,54074159.0,Amazing apartment Juarez Ãngel de la independencia,245618000,Alejandra,Unknown,CuauhtÃ©moc,19.42276,-99.16958,Entire home/apt,1312.0,1.0,23.0,14/06/2022,4.23,45.0,85.0,23.0
17513,54078956.0,Loft Suite JuÃ¡rez Reforma tres cuadras del Ãngel,245618000,Alejandra,Unknown,CuauhtÃ©moc,19.42435,-99.16953,Entire home/apt,931.0,1.0,16.0,14/06/2022,2.89,45.0,54.0,16.0
17514,54079138.0,Amazing apartment JuÃ¡rez Ãngel de la independencia,245618000,Alejandra,Unknown,CuauhtÃ©moc,19.42419,-99.16999,Entire home/apt,1210.0,1.0,20.0,19/06/2022,3.77,45.0,85.0,20.0
17515,54082573.0,Studio with private Patio in Condesa,182488173,Ivan,Unknown,CuauhtÃ©moc,19.41304,-99.16723,Entire home/apt,1595.0,1.0,7.0,16/05/2022,1.27,22.0,353.0,7.0
17516,53998215.0,"C AS9 Depa 3 pers Hospital Siglo XXI, Parque Delta",322510577,Urbano Suites,Unknown,Benito JuÃ¡rez,19.40334,-99.14751,Entire home/apt,346.0,2.0,13.0,27/05/2022,2.45,47.0,358.0,13.0
