,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
16125,52708408.0,Newly renovated private room/bath min from Chapul.,68320131,Maithe,Unknown,CuauhtÃ©moc,19.41897,-99.1774,Private room,3200.0,2.0,1.0,08/11/2021,0.13,1.0,179.0,1.0
16127,52714136.0,Primavera,416193964,Gaby,Unknown,CuauhtÃ©moc,19.41028,-99.16437,Private room,401.0,1.0,7.0,04/04/2022,0.9,5.0,87.0,7.0
16128,52714233.0,Invierno,416193964,Gaby,Unknown,CuauhtÃ©moc,19.40856,-99.16471,Private room,800.0,1.0,4.0,13/05/2022,0.5,5.0,86.0,4.0
16134,52719178.0,"La Casita de Lala.
El descanso en tu viaje",221486877,Connie,Unknown,CoyoacÃ¡n,19.35737,-99.16517,Private room,600.0,2.0,15.0,11/06/2022,1.85,3.0,357.0,15.0
16135,52514347.0,HabitaciÃ³n privada cercana a Bellas Artes y ZÃ³calo,422015783,Hotel,Unknown,CuauhtÃ©moc,19.42335,-99.14334,Private room,290.0,1.0,43.0,19/06/2022,4.92,5.0,360.0,43.0
16136,52514433.0,Recamara en lindo apartamento  a 5 min de polanco,28233269,JosÃ© Javier,Unknown,Miguel Hidalgo,19.44386,-99.19264,Private room,680.0,1.0,8.0,15/06/2022,6.0,1.0,87.0,8.0
16142,52517562.0,HabitaciÃ³n Privada con Solarium y Jacuzzi en CDMX,387957519,Alejandro,Unknown,CuauhtÃ©moc,19.40867,-99.13824,Private room,800.0,1.0,51.0,18/06/2022,6.32,5.0,356.0,51.0
16143,52612582.0,Reforma beauty,45200992,Karla,Unknown,CuauhtÃ©moc,19.42274,-99.17034,Private room,700.0,2.0,3.0,24/12/2021,0.44,3.0,303.0,3.0
16145,52614959.0,NSI-B Hospital General CDMX,66583431,Nicolas,Unknown,CuauhtÃ©moc,19.41621,-99.15386,Private room,250.0,3.0,2.0,25/01/2022,0.3,8.0,295.0,2.0
16148,52616462.0,HabitaciÃ³n IV - Luxury,41963013,Hector,Unknown,Miguel Hidalgo,19.43006,-99.20931,Private room,2839.0,1.0,0.0,No_reviews,0.0,41.0,304.0,0.0
16149,52617234.0,Cuarto con 1/2 baÃ±o (azotea)con uso Ã¡reas comunes.,98058700,Alejandro Angel,Unknown,CuauhtÃ©moc,19.40985,-99.16739,Private room,450.0,2.0,12.0,28/05/2022,1.61,2.0,312.0,12.0
16150,52618145.0,"Single Room, Ayenda Hermila Tlalpan Suites",425911233,Ayenda Hermila,Unknown,Tlalpan,19.29198,-99.1567,Private room,721.0,2.0,0.0,No_reviews,0.0,2.0,354.0,0.0
16151,52518351.0,Hotel la casa de la luna. Centro Historico CDMX.,425087780,Elia,Unknown,CuauhtÃ©moc,19.42923,-99.13826,Private room,32000.0,1.0,0.0,No_reviews,0.0,4.0,364.0,0.0
16153,52620519.0,Hotel Casa de la luna. Comodo y agradable.,425087780,Elia,Unknown,CuauhtÃ©moc,19.42983,-99.14,Private room,85000.0,1.0,0.0,No_reviews,0.0,4.0,364.0,0.0
16154,52620597.0,Hotel casa de la luna.,425087780,Elia,Unknown,CuauhtÃ©moc,19.42952,-99.14007,Private room,15000.0,1.0,0.0,No_reviews,0.0,4.0,364.0,0.0
16155,52620628.0,Hotel casa de la luna. 3 personas.,425087780,Elia,Unknown,CuauhtÃ©moc,19.42927,-99.13951,Private room,8000.0,1.0,0.0,No_reviews,0.0,4.0,364.0,0.0
16156,52621201.0,"Linda HabitaciÃ³n,Col.Del Valle.UbicaciÃ³n y DiseÃ±o",113703334,Marco,Unknown,Benito JuÃ¡rez,19.37924,-99.16083,Private room,514.0,1.0,16.0,01/05/2022,1.88,3.0,139.0,16.0
16159,52628524.0,HABITACIÃN PRIVADA EN DEPARTAMENTO RECIÃN RENOVADO,108459661,Julio,Unknown,Benito JuÃ¡rez,19.37596,-99.174,Private room,690.0,1.0,4.0,08/02/2022,0.57,1.0,293.0,4.0
16163,52632254.0,EXECUTIVE SUITE,91690750,Marco Antonio,Unknown,Miguel Hidalgo,19.43119,-99.2067,Private room,7078.0,1.0,0.0,No_reviews,0.0,2.0,365.0,0.0
16164,52632265.0,3 habitaciones en hermosa y amplia casa,79904318,Elizabeth,Unknown,Ãlvaro ObregÃ³n,19.36939,-99.21978,Private room,206.0,180.0,0.0,No_reviews,0.0,1.0,365.0,0.0
16166,52529908.0,CASA RUFINA | 102 Comfy ROOM wP/WC [Next2POLANCO],422054453,Rufina,Unknown,Miguel Hidalgo,19.44225,-99.20778,Private room,568.0,2.0,4.0,24/03/2022,0.55,6.0,330.0,4.0
16171,52530767.0,CASA RUFINA | 103 Lovely ROOM wP/WC [Next2POLANCO],422054453,Rufina,Unknown,Miguel Hidalgo,19.44181,-99.20752,Private room,548.0,3.0,3.0,13/04/2022,0.4,6.0,356.0,3.0
16173,52533347.0,Suite Interior Sencilla,425200125,Sevillavenue,Unknown,CuauhtÃ©moc,19.422335,-99.171219,Private room,951.0,1.0,3.0,04/03/2022,0.37,12.0,365.0,3.0
16176,52635314.0,La casita de CoyoacÃ¡n (Planta alta 13 huÃ©spedes),96060539,La Casita De CoyoacÃ¡n,Unknown,CoyoacÃ¡n,19.34994,-99.15173,Private room,7084.0,2.0,2.0,22/02/2022,0.44,4.0,346.0,2.0
16184,52536577.0,Serenity Suite in the Heart Roma Norte (Blue),93911392,Andres,Unknown,CuauhtÃ©moc,19.41382,-99.1627,Private room,513.0,1.0,32.0,19/06/2022,3.81,8.0,89.0,32.0
16185,52637949.0,Hotel Santa MarÃ­a HabitaciÃ³n Superior,424868059,Juan,Unknown,CuauhtÃ©moc,19.4495,-99.15607,Private room,600.0,1.0,26.0,29/05/2022,3.42,3.0,334.0,26.0
16190,52638405.0,Experiencia Frida. ð,257679722,Patricia,Unknown,CoyoacÃ¡n,19.35401,-99.15655,Private room,371.0,1.0,3.0,21/03/2022,0.8,1.0,363.0,3.0
16192,52545786.0,"Hermoso departamento, incluÃ­do servicios y Ã¡reas de amenidades. Super ubicado y de precio accesible.",205278846,Erick,Unknown,CoyoacÃ¡n,19.35824,-99.16751,Private room,7500.0,1.0,0.0,No_reviews,0.0,1.0,365.0,0.0
16196,52639675.0,"Bonita HabitaciÃ³n con BalcÃ³n (Green),Col.Del Valle",113703334,Marco,Unknown,Benito JuÃ¡rez,19.379993,-99.160164,Private room,571.0,1.0,13.0,04/06/2022,3.33,3.0,294.0,13.0
16198,52639703.0,Hermosa HabitaciÃ³n con BalcÃ³n Col. Del Valle,113703334,Marco,Unknown,Benito JuÃ¡rez,19.37896,-99.1596,Private room,619.0,1.0,2.0,28/10/2021,0.24,3.0,29.0,2.0
16206,52553089.0,Cozy Bedroom in best street in Roma Norte,14686608,Andrea,Unknown,CuauhtÃ©moc,19.42118,-99.16117,Private room,2200.0,3.0,0.0,No_reviews,0.0,9.0,89.0,0.0
16208,52643951.0,HabitaciÃ³n privada ÃNGEL INDEPENDECIA,41760053,Angel,Unknown,CuauhtÃ©moc,19.42748,-99.17373,Private room,785.0,1.0,4.0,07/11/2021,0.49,1.0,361.0,4.0
16209,52735052.0,Hotel Boutique Stara San Angel Inn,427411743,Martin,Unknown,Ãlvaro ObregÃ³n,19.347149,-99.204231,Private room,2174.0,1.0,2.0,08/11/2021,0.24,3.0,364.0,2.0
16210,52646870.0,Comfy room in sunny flat with breakfast :),162940923,Jesse,Unknown,Miguel Hidalgo,19.40344,-99.18038,Private room,420.0,2.0,11.0,09/02/2022,1.37,1.0,325.0,11.0
16211,52736258.0,"In the heart of Roma, big room with private bathroom. Close to all bars, restaurants. Shared kitchen and living room.",30246890,Mario,Unknown,CuauhtÃ©moc,19.41708,-99.15901,Private room,636.0,1.0,17.0,16/06/2022,2.11,2.0,80.0,17.0
16212,52554635.0,*Nuevo Dormitorio en el corazÃ³n de la Col. Roma.,382722792,Isrrael,Unknown,CuauhtÃ©moc,19.41617,-99.16101,Private room,341.0,2.0,65.0,10/06/2022,7.41,2.0,358.0,65.0
16213,52647622.0,HabitaciÃ³n 3 en La Casita azul Roma,425360649,Gerardo Israel,Unknown,CuauhtÃ©moc,19.423706,-99.157402,Private room,610.0,1.0,5.0,19/05/2022,0.6,4.0,333.0,5.0
16214,52555154.0,Hermoso departamento compartido en BGrand Lomas,100132405,Maria,Unknown,Cuajimalpa de Morelos,19.37242,-99.27024,Private room,1000.0,1.0,7.0,13/06/2022,0.89,1.0,228.0,7.0
16217,52736700.0,HabitaciÃ³n I - Empresarial,41963013,Hector,Unknown,Miguel Hidalgo,19.4305,-99.20963,Private room,2231.0,1.0,0.0,No_reviews,0.0,41.0,301.0,0.0
16218,52648384.0,"HabitaciÃ³n privada en depa, Narvarte H",31069469,Veronica,Unknown,Benito JuÃ¡rez,19.39416,-99.14933,Private room,226.0,1.0,12.0,06/06/2022,5.54,7.0,73.0,12.0
16222,52557368.0,Divine Suite in the heart of Roma Norte (Orange),93911392,Andres,Unknown,CuauhtÃ©moc,19.41534,-99.16228,Private room,673.0,1.0,24.0,28/05/2022,2.89,8.0,89.0,24.0
16224,52650661.0,"Departamento compartido, vista increÃ­ble y 2 gatos",26466889,Jorge,Unknown,Ãlvaro ObregÃ³n,19.38798,-99.19264,Private room,550.0,1.0,0.0,No_reviews,0.0,1.0,365.0,0.0
16228,52557770.0,Peaceful Suite in the heart of Roma Norte (pink),93911392,Andres,Unknown,CuauhtÃ©moc,19.41334,-99.16086,Private room,548.0,1.0,22.0,12/06/2022,2.63,8.0,88.0,22.0
16229,52558024.0,Magnificent Suite in the heart of Roma (yellow),93911392,Andres,Unknown,CuauhtÃ©moc,19.41389,-99.1629,Private room,572.0,1.0,25.0,18/06/2022,2.98,8.0,89.0,25.0
16230,52651448.0,BEAUTIFUL  nice room  in Colonia ROMA CDMX for 2,127530043,Larisa,Unknown,CuauhtÃ©moc,19.42124,-99.15633,Private room,590.0,2.0,0.0,No_reviews,0.0,1.0,245.0,0.0
16243,52737531.0,Casa del Valle Turquesa,257997363,Marco,Unknown,Benito JuÃ¡rez,19.37893,-99.16531,Private room,380.0,2.0,29.0,08/06/2022,3.52,3.0,162.0,29.0
16249,52655190.0,Stara Boutique Hotel Hamburgo,427411743,Martin,Unknown,CuauhtÃ©moc,19.42743,-99.15921,Private room,2174.0,1.0,2.0,09/11/2021,0.25,3.0,364.0,2.0
16255,52568207.0,Tranquil private bedroom in heart of Condesa,15542692,Justin,Unknown,CuauhtÃ©moc,19.41001,-99.17595,Private room,1096.0,2.0,10.0,09/06/2022,1.27,1.0,209.0,10.0
16256,52569731.0,Cuarto Lago Mask 229,158429278,Diego,Unknown,Miguel Hidalgo,19.44132,-99.1847,Private room,500.0,3.0,13.0,29/05/2022,1.67,3.0,359.0,13.0
16261,52656654.0,Acogedora habitacion con baÃ±o privado,250891615,Alieth,Unknown,CuauhtÃ©moc,19.413593,-99.173615,Private room,470.0,30.0,1.0,06/11/2021,0.13,1.0,0.0,1.0
16264,52656985.0,Apartamento en casa familiar,426254716,Luis,Unknown,Cuajimalpa de Morelos,19.37407,-99.2854,Private room,600.0,1.0,0.0,No_reviews,0.0,1.0,358.0,0.0
16267,52658124.0,HabitaciÃ³n 2 en La Casita Azul Roma,425360649,Gerardo Israel,Unknown,CuauhtÃ©moc,19.42462,-99.15844,Private room,610.0,1.0,6.0,12/06/2022,0.97,4.0,333.0,6.0
16268,52658176.0,HabitaciÃ³n 1 en La Casita Azul Roma,425360649,Gerardo Israel,Unknown,CuauhtÃ©moc,19.42276615,-99.15823401,Private room,610.0,1.0,1.0,17/10/2021,0.12,4.0,337.0,1.0
16269,52659521.0,HabitaciÃ³n privada en casa cerca de Santa Fe,30596467,Karina,Unknown,Cuajimalpa de Morelos,19.35681,-99.29241,Private room,364.0,1.0,1.0,18/02/2022,0.24,1.0,81.0,1.0
16273,52665405.0,R.L.11,7307520,Jose Jaime,Unknown,Gustavo A. Madero,19.4856,-99.12773,Private room,250.0,1.0,19.0,06/06/2022,2.31,11.0,324.0,19.0
16280,52667741.0,PREMIUM SUITE,91690750,Marco Antonio,Unknown,Miguel Hidalgo,19.43121,-99.20449,Private room,7099.0,1.0,0.0,No_reviews,0.0,2.0,365.0,0.0
16288,52742631.0,HabitaciÃ³n en casa tigre,47429710,Rich,Unknown,CuauhtÃ©moc,19.41726,-99.15614,Private room,303.0,30.0,0.0,No_reviews,0.0,1.0,19.0,0.0
16295,52831938.0,HabitaciÃ³n con todas las comodidades,427720277,Manuel,Unknown,Iztapalapa,19.37385,-99.1083,Private room,1800.0,1.0,0.0,No_reviews,0.0,1.0,365.0,0.0
16298,52751201.0,HabitaciÃ³n privada cercana a La Ciudadela,227035886,Kali,Unknown,CuauhtÃ©moc,19.428284,-99.146523,Private room,750.0,1.0,38.0,15/06/2022,4.69,28.0,171.0,38.0
16299,52837862.0,Fully Furnished room in apt near Reforma,81567884,Jaime,Unknown,CuauhtÃ©moc,19.43018,-99.15543,Private room,375.0,2.0,1.0,30/11/2021,0.15,1.0,324.0,1.0
16307,52755168.0,Linda y cÃ³moda habitaciÃ³n con excelente ubicaciÃ³n al  centro histÃ³rico de la cdmx.,303599132,Marisa,Unknown,CuauhtÃ©moc,19.43231,-99.14903,Private room,400.0,1.0,1.0,27/10/2021,0.13,1.0,324.0,1.0
16314,52757327.0,PequeÃ±o estudio con baÃ±o privado y Kitchenette.,89003998,Felipe,Unknown,CuauhtÃ©moc,19.4058,-99.15573,Private room,320.0,7.0,8.0,28/05/2022,1.01,3.0,290.0,8.0
16317,52758486.0,HabitaciÃ³n Roma Norte con baÃ±o privado CDMX!,152201436,Maribel,Unknown,CuauhtÃ©moc,19.41221,-99.15939,Private room,690.0,1.0,26.0,16/06/2022,3.16,2.0,350.0,26.0
16319,52759391.0,"Recamara privada en planta baja con baÃ±o, familiar",192350120,Luis RamÃ³n,Unknown,CuauhtÃ©moc,19.45799,-99.13755,Private room,380.0,3.0,7.0,25/04/2022,0.86,3.0,364.0,7.0
16333,52774437.0,HabitaciÃ³n de lujo Pensador Mexicano,427243766,Josafat Rogelio,Unknown,Venustiano Carranza,19.44306,-99.089218,Private room,305.0,1.0,51.0,04/06/2022,6.51,2.0,361.0,51.0
16334,52774818.0,CDMX,59521782,Andrea,Unknown,CuauhtÃ©moc,19.41214,-99.14626,Private room,365.0,1.0,0.0,No_reviews,0.0,1.0,180.0,0.0
16337,52775879.0,"Hermosa HabitaciÃ³n cÃ³moda, cÃ©ntrica y privada",427255679,Laura,Unknown,Gustavo A. Madero,19.50072,-99.12807,Private room,370.0,1.0,25.0,12/06/2022,6.64,2.0,360.0,25.0
16340,52777723.0,HabitaciÃ³n de Lujo II Pensador Mexicano,427243766,Josafat Rogelio,Unknown,Venustiano Carranza,19.4418,-99.08976,Private room,305.0,1.0,17.0,03/06/2022,2.76,2.0,361.0,17.0
16341,52780099.0,Diego | Boutique Hotel Private Room | Smart TV,354044526,HostPal,Unknown,CuauhtÃ©moc,19.409319,-99.175385,Private room,754.0,1.0,24.0,18/05/2022,2.99,15.0,360.0,24.0
16342,52780249.0,CÃ³moda recÃ¡mara en la colonia Del Valle Sur,94725563,Ale,Unknown,Benito JuÃ¡rez,19.36542,-99.17177,Private room,314.0,1.0,1.0,27/11/2021,0.14,1.0,170.0,1.0
16355,52801053.0,Yorch's Roomate,133036225,Jorge Edgar,Unknown,Miguel Hidalgo,19.444841,-99.190926,Private room,556.0,1.0,12.0,06/06/2022,1.54,2.0,340.0,12.0
16357,52807344.0,HabitaciÃ³n privada en el ZÃ³calo de la Ciudad,350386350,Isaac,Unknown,CuauhtÃ©moc,19.43054,-99.13297,Private room,1131.0,1.0,55.0,07/06/2022,7.05,9.0,354.0,55.0
16361,52811466.0,HabitaciÃ³n 4 en La Casita Azul Roma,425360649,Gerardo Israel,Unknown,CuauhtÃ©moc,19.42302,-99.15824,Private room,600.0,1.0,28.0,06/06/2022,3.47,4.0,356.0,28.0
16363,52813108.0,C HabitaciÃ³n privada a 25 minutos del centro.,177957371,Diego Gilmar,Unknown,Azcapotzalco,19.46473,-99.1548,Private room,350.0,1.0,0.0,No_reviews,0.0,3.0,365.0,0.0
16371,52826275.0,Lindo departamento muy luminoso en zona tranquila,128538188,Margaux,Unknown,CuauhtÃ©moc,19.45174,-99.13638,Private room,389.0,1.0,14.0,29/05/2022,1.78,1.0,341.0,14.0
16375,52934785.0,"Bed, bath and breakfast in Condesa.",212167796,Paulina,Unknown,CuauhtÃ©moc,19.40717,-99.17178,Private room,1350.0,1.0,1.0,06/11/2021,0.13,1.0,364.0,1.0
16377,52936953.0,Bad Ass Room,6629301,Grecia,Unknown,Miguel Hidalgo,19.400272,-99.172981,Private room,550.0,1.0,4.0,30/05/2022,2.61,6.0,361.0,4.0
16378,52937143.0,"Conoce tu nuevo hogar, taller MÃ©xico es arte.",426035085,Isaac,Unknown,Cuajimalpa de Morelos,19.34179,-99.3094,Private room,450.0,1.0,1.0,02/04/2022,0.37,1.0,365.0,1.0
16381,52938638.0,"Acogedora suite, baÃ±o completo y comedor propio.",294137707,Iqui,Unknown,Tlalpan,19.22774,-99.21667,Private room,500.0,1.0,2.0,17/01/2022,0.35,2.0,365.0,2.0
16391,52947802.0,[ Bright and fancy apartment in trendy Polanco ],26107570,Ana,Unknown,Miguel Hidalgo,19.43465,-99.18889,Private room,4604.0,3.0,2.0,25/02/2022,0.26,2.0,365.0,2.0
16397,52950572.0,Suite Interior Sencilla,425200125,Sevillavenue,Unknown,CuauhtÃ©moc,19.42287,-99.17054,Private room,966.0,2.0,9.0,31/05/2022,1.18,12.0,365.0,9.0
16398,52950755.0,Hermoso departamento con servicos incluidos en Santa MarÃ­a la Ribera,12834853,Lalo,Unknown,CuauhtÃ©moc,19.44591,-99.16391,Private room,449.0,1.0,1.0,31/10/2021,0.13,1.0,364.0,1.0
16416,53003809.0,Colonial Suite in Casa de los PÃ¡jaros,1492302,Priscila,Unknown,Tlalpan,19.28133,-99.18273,Private room,666.0,1.0,2.0,06/02/2022,0.3,3.0,0.0,2.0
16421,53005250.0,VH | SPACIOUS SUITE W/ CO-WORKING & GYM | 178,382880251,Carcho,Unknown,CuauhtÃ©moc,19.431843,-99.168762,Private room,758.0,1.0,14.0,12/06/2022,1.9,44.0,293.0,14.0
16422,53006138.0,VH | Suite c/terrazas IncreÃ­bles | COL JUÃREZ |179,382880251,Carcho,Unknown,CuauhtÃ©moc,19.431843,-99.168762,Private room,758.0,1.0,7.0,25/03/2022,1.06,44.0,223.0,7.0
16423,52848394.0,Private room Hipodromo Condesa close Mexico Park,273455442,Gabriela Y Julio,Unknown,CuauhtÃ©moc,19.413593,-99.16713,Private room,670.0,2.0,18.0,04/06/2022,2.5,1.0,141.0,18.0
16428,52857194.0,"In the heart of Roma, single big room",30246890,Mario,Unknown,CuauhtÃ©moc,19.417826,-99.159515,Private room,547.0,1.0,30.0,19/06/2022,3.73,2.0,82.0,30.0
