,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
11305,43985699.0,Beauti and Economic Hostel in the center of CMDX,350384900,Isaac,Unknown,CuauhtÃ©moc,19.4291,-99.13463,Shared room,369.0,1.0,0.0,No_reviews,0.0,20.0,361.0,0.0
11306,43986126.0,Hostal Casa MX center Female Dormitory 8 Beds,350384900,Isaac,Unknown,CuauhtÃ©moc,19.4305,-99.13308,Shared room,358.0,1.0,3.0,19/12/2021,0.45,20.0,361.0,3.0
11308,43986164.0,Incredible and cheap hostel with Queen beds CDMX,350384900,Isaac,Unknown,CuauhtÃ©moc,19.43098,-99.13477,Shared room,331.0,1.0,25.0,28/05/2022,1.18,20.0,355.0,18.0
11372,44015593.0,Shared Room Near Metrobus,207240505,Luis,Unknown,CuauhtÃ©moc,19.46424,-99.14548,Shared room,206.0,28.0,3.0,31/05/2022,0.49,72.0,180.0,3.0
11385,44022176.0,Rooms for exchange students,207240505,Luis,Unknown,CuauhtÃ©moc,19.46139,-99.14784,Shared room,200.0,28.0,2.0,08/12/2020,0.1,72.0,357.0,0.0
11396,44231451.0,"CDMX, habitaciÃ³n compartida para 10, litera",350569707,HÃ©ctor Manuel,Unknown,CuauhtÃ©moc,19.43105,-99.13785,Shared room,1499.0,1.0,3.0,11/01/2021,0.14,3.0,365.0,0.0
11429,44051350.0,BUSCO ROOMIE,353152042,Frida,Unknown,Benito JuÃ¡rez,19.36362,-99.16204,Shared room,7500.0,365.0,0.0,No_reviews,0.0,1.0,362.0,0.0
11447,44063290.0,HabitaciÃ³n privadaÂ¨Pavo RealÂ¨ dentro de Hostal.,79895724,Esperanza,Unknown,CuauhtÃ©moc,19.43227,-99.16113,Shared room,540.0,1.0,1.0,07/04/2022,0.39,22.0,319.0,1.0
11453,44064457.0,Cama en HabitaciÃ³n Â¨PeyoteÂ¨ dentro de Hostal,79895724,Esperanza,Unknown,CuauhtÃ©moc,19.43083,-99.15913,Shared room,289.0,1.0,2.0,09/02/2022,0.15,22.0,320.0,1.0
11514,44433437.0,La casa del tÃ­o,358904741,Guillermo,Unknown,Venustiano Carranza,19.42968,-99.10247,Shared room,225.0,3.0,0.0,No_reviews,0.0,1.0,365.0,0.0
11648,44538911.0,U-Co Juarez (Capsule in shared mixed room),51921637,Marco,Unknown,CuauhtÃ©moc,19.42573,-99.16259,Shared room,450.0,3.0,64.0,22/05/2022,2.84,13.0,185.0,33.0
11657,44687705.0,rincÃ³n en el cielo,196375632,Azalia Teresa,Unknown,Xochimilco,19.24922,-99.10684,Shared room,224.0,15.0,0.0,No_reviews,0.0,1.0,365.0,0.0
11679,44946922.0,U-Co Juarez (Capsule in FEMALE only Dorm),51921637,Marco,Unknown,CuauhtÃ©moc,19.42437,-99.1613,Shared room,480.0,3.0,19.0,30/04/2022,0.88,13.0,190.0,11.0
11681,44948931.0,U-Co Juarez (Private Room Shared Bathroom),51921637,Marco,Unknown,CuauhtÃ©moc,19.4251,-99.16058,Shared room,931.0,3.0,0.0,No_reviews,0.0,13.0,167.0,0.0
11731,45162410.0,Cheap Hostel in the magical ZÃ³calo of CDMX,350384900,Isaac,Unknown,CuauhtÃ©moc,19.43146,-99.13443,Shared room,305.0,1.0,123.0,11/05/2022,6.17,20.0,362.0,90.0
11778,44998072.0,Casa muy cÃ©ntrica y todo a la mano,363141703,Mercedes,Unknown,CuauhtÃ©moc,19.43927,-99.15228,Shared room,250.0,1.0,0.0,No_reviews,0.0,1.0,365.0,0.0
11807,45102642.0,ä¸­å½äººï¼æ±åç§,182615250,å,Unknown,Miguel Hidalgo,19.43995,-99.18115,Shared room,406.0,20.0,0.0,No_reviews,0.0,1.0,364.0,0.0
11844,45028306.0,Casa estilo Porfiriana,275365311,Covive,Unknown,CuauhtÃ©moc,19.42275,-99.16314,Shared room,300.0,60.0,0.0,No_reviews,0.0,5.0,363.0,0.0
11897,45289412.0,Shared Room For Women Near Metrobus,207240505,Luis,Unknown,CuauhtÃ©moc,19.46431,-99.14497,Shared room,200.0,28.0,2.0,14/02/2022,0.34,72.0,180.0,2.0
11935,45314674.0,Shared Room,207240505,Luis,Unknown,CuauhtÃ©moc,19.45938,-99.1479,Shared room,200.0,28.0,0.0,No_reviews,0.0,72.0,321.0,0.0
11994,45332254.0,U-Co Juarez (Capsule in shared mixed room),51921637,Marco,Unknown,CuauhtÃ©moc,19.42622,-99.16268,Shared room,466.0,3.0,14.0,04/06/2022,0.67,13.0,180.0,13.0
12020,45528197.0,Deluxe Suite & Lifestyle Room,368572072,Carlos,Unknown,Cuajimalpa de Morelos,19.35705,-99.27642,Shared room,2070.0,1.0,2.0,07/11/2021,0.1,1.0,365.0,1.0
12087,45364826.0,Habitaciones Centro Holistico Uneco,366757698,Juana,Unknown,Tlalpan,19.2151,-99.15874,Shared room,800.0,1.0,0.0,No_reviews,0.0,1.0,365.0,0.0
12103,45371347.0,Single and shared rooms near downtown.,207240505,Luis,Unknown,CuauhtÃ©moc,19.46278,-99.14544,Shared room,212.0,28.0,3.0,31/01/2022,0.19,72.0,365.0,2.0
12120,45567150.0,Cuarto con cama matrimonial a 5/min de polanco,368885305,Gustavo,Unknown,Miguel Hidalgo,19.44803,-99.18382,Shared room,400.0,7.0,0.0,No_reviews,0.0,1.0,365.0,0.0
12135,45580014.0,ROOMIES AMSTERDAM 67,348568197,Yeli,Unknown,CuauhtÃ©moc,19.41363,-99.16937,Shared room,221.0,30.0,0.0,No_reviews,0.0,4.0,365.0,0.0
12137,45581277.0,ROOMIES RIO TIGRIS 30,348568197,Yeli,Unknown,CuauhtÃ©moc,19.43285,-99.16906,Shared room,221.0,30.0,0.0,No_reviews,0.0,4.0,365.0,0.0
12138,45581397.0,ROOMIES C. TORREON 7,348568197,Yeli,Unknown,CuauhtÃ©moc,19.40438,-99.16043,Shared room,221.0,30.0,0.0,No_reviews,0.0,4.0,365.0,0.0
12140,45499208.0,Shared Room,207240505,Luis,Unknown,CuauhtÃ©moc,19.46069,-99.14871,Shared room,200.0,28.0,2.0,06/12/2020,0.1,72.0,365.0,0.0
12179,45411590.0,Shared Room Near Metrobus,207240505,Luis,Unknown,CuauhtÃ©moc,19.4595,-99.14836,Shared room,202.0,28.0,5.0,07/12/2021,0.25,72.0,363.0,2.0
12349,45704364.0,Habitaciones o depto para estudiantes extranjeros,370369266,Carlos,Unknown,CoyoacÃ¡n,19.33776,-99.18234,Shared room,17000.0,265.0,0.0,No_reviews,0.0,1.0,365.0,0.0
12407,45858156.0,Single and shared rooms near downtown.,207240505,Luis,Unknown,CuauhtÃ©moc,19.46457,-99.1442,Shared room,202.0,28.0,5.0,06/10/2021,0.26,72.0,311.0,2.0
12432,45861509.0,Shared Room For Woman,207240505,Luis,Unknown,CuauhtÃ©moc,19.46087,-99.14849,Shared room,200.0,28.0,3.0,19/07/2021,0.16,72.0,365.0,1.0
12768,46792871.0,Single and shared rooms near downtown.,207240505,Luis,Unknown,CuauhtÃ©moc,19.46426,-99.14419,Shared room,201.0,28.0,6.0,31/03/2022,0.4,72.0,365.0,4.0
12821,46836250.0,"Shared room, near to Metrobus!",207240505,Luis,Unknown,CuauhtÃ©moc,19.46396,-99.14571,Shared room,206.0,28.0,3.0,17/07/2021,0.17,72.0,349.0,1.0
12858,46717456.0,Cama en HabitaciÃ³n Â¨PeyoteÂ¨ dentro de Hostal,79895724,Esperanza,Unknown,CuauhtÃ©moc,19.43019,-99.15992,Shared room,289.0,1.0,41.0,18/05/2022,2.22,22.0,319.0,35.0
12882,46882350.0,HOSTEL RYA ROMA,348568197,Yeli,Unknown,CuauhtÃ©moc,19.41135,-99.16526,Shared room,225.0,1.0,5.0,30/04/2022,0.27,4.0,361.0,3.0
12889,46883444.0,CÃ³modo espacio para dormir a 10 min de Foro Sol.,224641671,Iliana,Unknown,Venustiano Carranza,19.41221,-99.09895,Shared room,250.0,1.0,9.0,06/06/2022,2.9,1.0,355.0,9.0
12905,46735305.0,U-Co Juarez (Capsule in 2 people Dorm),51921637,Marco,Unknown,CuauhtÃ©moc,19.42472,-99.16229,Shared room,651.0,3.0,5.0,10/04/2022,0.29,13.0,178.0,4.0
12936,47099790.0,Dormitorio Compartido en Centro Historico,380448530,Hotel Boutique,Unknown,CuauhtÃ©moc,19.42535,-99.13882,Shared room,850.0,1.0,0.0,No_reviews,0.0,3.0,365.0,0.0
12944,47071577.0,Dormitorio Individual Centro HistÃ³rico,380448530,Hotel Boutique,Unknown,CuauhtÃ©moc,19.42723,-99.13912,Shared room,850.0,1.0,0.0,No_reviews,0.0,3.0,365.0,0.0
12955,47100887.0,CÃ¡psula Individual en centro de la Ciudad,380448530,Hotel Boutique,Unknown,CuauhtÃ©moc,19.42689,-99.14097,Shared room,850.0,1.0,0.0,No_reviews,0.0,3.0,365.0,0.0
13022,47707378.0,Single and shared rooms near downtown.,207240505,Luis,Unknown,CuauhtÃ©moc,19.45928,-99.14683,Shared room,200.0,28.0,4.0,04/05/2022,0.29,72.0,365.0,2.0
13141,47781375.0,Single and shared rooms near downtown.,207240505,Luis,Unknown,CuauhtÃ©moc,19.46145,-99.14823,Shared room,200.0,28.0,1.0,15/06/2021,0.08,72.0,365.0,0.0
13208,47812113.0,HabitaciÃ³n grande/casa bonita/ubicaciÃ³n excelente,261450121,Jonathan,Unknown,Benito JuÃ¡rez,19.38933,-99.16466,Shared room,791.0,2.0,0.0,No_reviews,0.0,1.0,180.0,0.0
