,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
8252,35709914.0,"Queen size bed Room , Patio View C5",1886913,Distrito Condesa,Unknown,CuauhtÃ©moc,19.40749,-99.17561,Hotel room,1100.0,1.0,1.0,26/11/2019,0.03,10.0,346.0,0.0
8267,35715294.0,Minimalist / Modern / New Flat,79926743,Joel,Unknown,Ãlvaro ObregÃ³n,19.38343,-99.19814,Hotel room,852.0,2.0,1.0,21/07/2019,0.03,1.0,42.0,0.0
8408,36841307.0,"Casa Donceles Apt 4â¤ï¸Ideal for Families, sanitized",54497443,Livia,Unknown,CuauhtÃ©moc,19.43775,-99.13952,Hotel room,2403.0,1.0,4.0,21/03/2022,0.13,10.0,203.0,2.0
8446,37326050.0,Suite en Mansion Jacuzzi n Private Pool,24017549,Enrique,Unknown,CoyoacÃ¡n,19.3459,-99.16171,Hotel room,8113.0,1.0,39.0,21/04/2022,1.17,6.0,331.0,6.0
8488,37635042.0,Premium 2 BR Apt in Santa Fe Mexico City T01,196443126,RentinBA - Paradox,Unknown,Cuajimalpa de Morelos,19.35754,-99.27359,Hotel room,4111.0,1.0,21.0,20/03/2022,0.65,8.0,365.0,14.0
8536,37686635.0,habitacion Xochitl  Casa Culhuac,49039924,Jaime,Unknown,Ãlvaro ObregÃ³n,19.34631,-99.25332,Hotel room,861.0,1.0,1.0,27/12/2019,0.03,6.0,278.0,0.0
8546,37687424.0,habitacion witsilin Casa Culhuac,49039924,Jaime,Unknown,Ãlvaro ObregÃ³n,19.34628,-99.25333,Hotel room,861.0,1.0,3.0,11/11/2020,0.09,6.0,290.0,0.0
8560,37688057.0,Habitacion citlali Casa Culhuac,49039924,Jaime,Unknown,Ãlvaro ObregÃ³n,19.34645,-99.2553,Hotel room,913.0,1.0,1.0,09/05/2021,0.07,6.0,278.0,0.0
8573,37689391.0,habitacion sac-nicte Casa Culhuac,49039924,Jaime,Unknown,Ãlvaro ObregÃ³n,19.3474,-99.25319,Hotel room,861.0,1.0,2.0,05/02/2020,0.06,6.0,278.0,0.0
8574,37691088.0,Lovely Suite with Private Terrace in Coyoacan,69008113,CristiÃ¡n,Unknown,CoyoacÃ¡n,19.34921,-99.16183,Hotel room,2100.0,1.0,14.0,05/06/2022,0.42,6.0,272.0,8.0
8638,37721233.0,LA CASA DE TONA. 3er Dormitorio c/cama individual,175923151,MarÃ­a Antonieta,Unknown,Benito JuÃ¡rez,19.40293,-99.1606,Hotel room,300.0,1.0,58.0,22/05/2022,1.69,6.0,358.0,32.0
9229,39049228.0,"Standard 3 Bedroom Apt in Santa Fe, Mex City 3BT04",196443126,RentinBA - Paradox,Unknown,Cuajimalpa de Morelos,19.3568,-99.27427,Hotel room,7464.0,1.0,0.0,No_reviews,0.0,8.0,132.0,0.0
9261,39057761.0,"Standard 2 BR Apartment in Santa Fe, Mexico City",196443126,RentinBA - Paradox,Unknown,Cuajimalpa de Morelos,19.3568,-99.27427,Hotel room,2932.0,1.0,23.0,31/05/2022,1.04,8.0,361.0,21.0
10979,43205383.0,Emporio Ciudad de MÃ©xico,336118145,Hotel Emporio,Unknown,CuauhtÃ©moc,19.43142,-99.15688,Hotel room,0.0,1.0,2.0,29/05/2022,0.12,2.0,0.0,1.0
11029,43247503.0,FlowSuites Polanco,318447028,FlowSuites Polanco,Unknown,Miguel Hidalgo,19.42918,-99.19296,Hotel room,0.0,1.0,0.0,No_reviews,0.0,1.0,0.0,0.0
11033,43247515.0,FlowSuites WTC,318438430,Flowsuites WTC,Unknown,Benito JuÃ¡rez,19.39492,-99.17583,Hotel room,0.0,1.0,0.0,No_reviews,0.0,1.0,0.0,0.0
11035,43247525.0,Krystal Grand Suites Insurgentes Ciudad De MÃ©xico,318980910,Krystal Grand Suites Insurgentes,Unknown,Ãlvaro ObregÃ³n,19.35086,-99.18667,Hotel room,0.0,1.0,0.0,No_reviews,0.0,1.0,0.0,0.0
11036,43247567.0,CHAYA B&B,319050749,CHAYA B&B,Unknown,CuauhtÃ©moc,19.43632,-99.1464,Hotel room,0.0,1.0,0.0,No_reviews,0.0,1.0,0.0,0.0
11043,43247660.0,Hotel Historico Central,319043090,Hotel Historico Central,Unknown,CuauhtÃ©moc,19.43313,-99.13814,Hotel room,0.0,1.0,0.0,No_reviews,0.0,1.0,0.0,0.0
