,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
4884,38948222,Habitación compartida 1 Litera.,295009827,Casa Sofia,Casa Sofia,Providencia,-33.43416,-70.62333,Shared room,25536,1,0,No_reviews,0.0,2,179,0,Unknown
4885,39605652,Excelente departamento,304317145,Claudia,Claudia,Pudahuel,-33.45655,-70.73866,Entire home/apt,45000,7,0,No_reviews,0.0,1,179,0,Unknown
4886,39608732,Amplio departamento para mujeres - Viaja segura,304340766,Nataly,Nataly,Huechuraba,-33.35571,-70.67055,Private room,25000,2,0,No_reviews,0.0,1,89,0,Unknown
4887,38349425,Hermoso Dpto Familiar(3-4 personas) en Providencia,19081832,Diego,Diego,Providencia,-33.42003,-70.61031,Entire home/apt,76743,2,15,2022-05-28,0.5,8,361,7,Unknown
4888,39628430,chileno y acogedor,286209668,Rosa,Rosa,Cerro Navia,-33.42678,-70.76473,Private room,36000,30,0,No_reviews,0.0,1,365,0,Unknown
4889,38349468,Habitacion c/baño privado cable wifi San Miguel,275368388,Carmen,Carmen,San Miguel,-33.49887,-70.65375,Private room,30000,2,1,2019-09-28,0.03,1,179,0,Unknown
4890,38951174,Acogedor dormitorio en Providencia,298330032,Eva,Eva,Providencia,-33.42655,-70.61546,Private room,11500,1,11,2020-02-18,0.34,1,0,0,Unknown
4891,38951205,Madison apart Hotel,63878926,Carlos,Carlos,Las Condes,-33.41517,-70.60426,Entire home/apt,46043,2,116,2022-05-12,4.42,7,362,33,Unknown
4892,39644391,energía espiritual,304640797,Magna Luce Africa,Magna Luce Africa,La Florida,-33.52295,-70.56448,Private room,25000,1,4,2022-03-17,0.14,1,179,1,Unknown
4893,38968660,"barrio el golf ,habitación de lujo baño privado",279761258,Juan,Juan,Las Condes,-33.41589,-70.59808,Private room,80000,1,0,No_reviews,0.0,1,179,0,Unknown
4894,38353534,Suite Las Condes,114975278,Felipe,Felipe,Las Condes,-33.39996,-70.57397,Entire home/apt,69186,3,10,2022-03-28,0.46,1,168,1,Unknown
4895,39645897,Donde   Martín     y desin,304653692,Desin,Desin,Quilicura,-33.36362,-70.71314,Private room,26317,16,0,No_reviews,0.0,1,365,0,Unknown
4896,39653056,Acogedor dormitorio cercano al Metro Est. Nacional,284578232,Margarita Rosa,Margarita Rosa,Ñuñoa,-33.45384,-70.60378,Private room,14000,1,44,2022-06-11,1.43,2,311,35,Unknown
4897,38360864,Habitación Matrimonial,292061356,Luzma,Luzma,Providencia,-33.44333,-70.6301,Private room,50000,2,0,No_reviews,0.0,1,365,0,Unknown
4898,38361767,casa familiar disponible,292073161,Jorge,Jorge,Macul,-33.49124,-70.59994,Private room,14609,4,0,No_reviews,0.0,1,365,0,Unknown
4899,38974784,maison pleine de lumière à Santiago,24317610,Marie,Marie,Lo Barnechea,-33.34738,-70.54645,Entire home/apt,278447,5,8,2022-03-06,0.25,1,254,2,Unknown
4900,39653437,Adriana  Departamentos,403988181,D Y A,D Y A,Santiago,-33.43764,-70.64531,Entire home/apt,32143,1,148,2022-05-22,4.6,8,350,63,Unknown
4901,38980449,Cozy apartment close to Plaza Ñuñoa,152449885,Ramón,Ramón,Ñuñoa,-33.454044,-70.598213,Entire home/apt,56000,5,15,2022-05-31,0.46,1,329,8,Unknown
4902,38982114,SUITE increíble VISTA enCasa estilo vintage ElGolf,285891166,Vince,Vince,Las Condes,-33.41095,-70.59852,Entire home/apt,83651,3,3,2021-11-09,0.09,1,180,2,Unknown
4903,38381910,Acogedor depto amoblado Macul Metro Las Torres,285126705,Gonzalo,Gonzalo,Macul,-33.49802,-70.58659,Entire home/apt,83651,3,10,2021-12-20,0.3,1,365,3,Unknown
4904,38387974,Departamento (Nuevo) en Santiago Centro Histórico,264273629,Esteban,Esteban,Santiago,-33.44856,-70.64552,Entire home/apt,18000,30,0,No_reviews,0.0,2,172,0,Unknown
4905,39653847,Altavista Vicente Valdés,304745744,Ricardo,Ricardo,La Florida,-33.52433,-70.5973,Entire home/apt,46408,4,1,2019-11-07,0.03,1,177,0,Unknown
4906,38390916,Habitacion individual con baño en centro Santiago,283922352,Sebastian,Sebastian,Santiago,-33.43793,-70.65637,Private room,11000,1,0,No_reviews,0.0,1,90,0,Unknown
4907,39002695,Habitac para 1 persona baño privado  en las condes,111131573,Loreto,Loreto,Las Condes,-33.41746,-70.56813,Private room,21000,1,20,2022-05-26,0.66,1,361,16,Unknown
4908,39004338,Habitación Ñuñoa,298886153,Rosa,Rosa,Ñuñoa,-33.46916,-70.58604,Private room,290000,90,0,No_reviews,0.0,1,179,0,Unknown
4909,39674340,"Cómodo departamento cerca metro Manquehue, terraza",186664695,Erwin,Erwin,Las Condes,-33.41063,-70.57383,Private room,26416,14,0,No_reviews,0.0,1,173,0,Unknown
4910,39005644,Excelente departamento en Barrio Italia,298898075,Nicolás,Nicolás,Ñuñoa,-33.45054,-70.62486,Private room,24000,1,5,2022-04-29,1.39,1,177,5,Unknown
4911,39675809,Cómo en casa,304938664,Emilio,Emilio,Santiago,-33.45234,-70.64108,Entire home/apt,600000,1,0,No_reviews,0.0,1,180,0,Unknown
4912,39007712,Alojamiento Boutique / 1 Pax,10662475,Víctor Hugo,Víctor Hugo,La Reina,-33.44093,-70.54247,Private room,21900,30,4,2020-04-20,0.12,4,89,0,Unknown
4913,39007803,"Habitación Cerro Provincia, Desayuno incluido",297931554,Rodrigo,Rodrigo,Providencia,-33.41726,-70.61361,Private room,46500,1,3,2019-12-15,0.09,7,48,0,Unknown
4914,39008090,"Habitación Santa Lucía, Desayuno incluido",297931554,Rodrigo,Rodrigo,Providencia,-33.41794,-70.61204,Private room,43500,1,16,2020-01-07,0.48,7,48,0,Unknown
4915,39020537,Santiago Moneda Suites 827,257501324,Patricio,Patricio,Santiago,-33.44619,-70.65437,Entire home/apt,33271,1,108,2022-05-26,3.28,8,87,60,Unknown
4916,38408653,"5 LOFT ÑUÑOA ,2 metro, Lindo,comercio, wifi",137180367,Daniel,Daniel,Ñuñoa,-33.460835,-70.576065,Entire home/apt,26850,1,16,2022-06-14,0.48,7,85,10,Unknown
4917,38409046,"6 LOFT ÑUÑOA, METRO moderno WIFI cocinaOK",137180367,Daniel,Daniel,Ñuñoa,-33.460835,-70.576065,Entire home/apt,18850,1,22,2022-01-29,0.67,7,0,10,Unknown
4918,38414966,Arriendo dormitorio individual en mi casa de Ñuñoa,7697584,Gabriela,Gabriela,Ñuñoa,-33.4496,-70.61474,Private room,9000,2,1,2019-10-07,0.03,1,172,0,Unknown
4919,39676227,Habitación privada Las Condes cercana al metro,304942414,Arié,Arié,Las Condes,-33.40211,-70.55401,Entire home/apt,14000,4,23,2022-03-19,0.76,1,93,12,Unknown
4920,38416033,Departamento 1611 a pasos de plaza de armas,95873591,Rosario,Rosario,Santiago,-33.43791,-70.65274,Entire home/apt,19000,30,31,2022-05-31,0.93,5,354,2,Unknown
4921,38475720,Lindo y amplio departamento en Las Condes,293260745,María Soledad,María Soledad,Las Condes,-33.42755,-70.56217,Entire home/apt,65000,2,20,2022-03-19,0.65,1,83,4,Unknown
4922,39029113,"Habitación cerro Pintor, Desayuno incluido",297931554,Rodrigo,Rodrigo,Providencia,-33.41822,-70.6144,Private room,46500,1,5,2021-04-07,0.15,7,48,0,Unknown
4923,39677481,Grato ambiente familiar,304954285,Carmen,Carmen,Ñuñoa,-33.45563,-70.6089,Private room,16000,14,1,2022-04-08,0.39,1,0,1,Unknown
4924,39029546,Encantador y  céntrico departamento amoblado.,155085369,Jeannette,Jeannette,Santiago,-33.45285,-70.64646,Entire home/apt,230000,3,1,2019-10-19,0.03,2,365,0,Unknown
4925,39031111,Casa a minutos del aeropuerto,189820346,Sylvana,Sylvana,Pudahuel,-33.46068,-70.85512,Entire home/apt,150000,1,5,2022-04-10,0.54,6,178,5,Unknown
