,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
13320,38899862.0,Quarto Ipanema Ótima localização,297916307,Frederico,Unknown,Ipanema,-22.984217,-43.208927,Private room,150,1,4,23/05/2022,0.66,1,89,4,Unknown
13325,38643107.0,A city with full options,285924565,Anya,Unknown,Parque Anchieta,-22.83357,-43.40209,Private room,150,1,0,No_reviews,0.0,1,365,0,Unknown
13327,38647644.0,Quarto de casal em apartamento compartilhado,94375553,Tandara,Unknown,Jacarepaguá,-22.97186,-43.38289,Private room,120,1,75,05/06/2022,2.27,1,26,43,Unknown
13331,38672192.0,Quarto em copacaba e apto todo dependendo ((:,110526028,Camila,Unknown,Copacabana,-22.96355,-43.17591,Private room,2500,4,0,No_reviews,0.0,1,0,0,Unknown
13334,38376025.0,Venha pro Rock in Rio com segurança e conforto.,119512439,Mario,Unknown,Taquara,-22.91924,-43.38648,Private room,400,2,0,No_reviews,0.0,1,179,0,Unknown
13336,38378451.0,"Casa familiar,local super limpo, silêncio pa",290951874,Eudes Souza,Unknown,Vila Kosmos,-22.86073,-43.30619,Private room,64,1,0,No_reviews,0.0,1,365,0,Unknown
13338,38378860.0,Suíte Casal Recreio Casa Condomínio - Wi-Fi,291377639,José Antônio Pires Do,Unknown,Recreio dos Bandeirantes,-23.01712,-43.48071,Private room,150,2,1,06/10/2019,0.03,3,89,0,Unknown
13339,38379963.0,Triplo - 5 min do metrô  e 10 de Copacabana,32168832,Marcus,Unknown,Botafogo,-22.95454,-43.18183,Private room,127,1,24,01/04/2022,0.72,9,79,4,Unknown
13345,38673723.0,big room w/ good wifi and nice terrace,8782308,Julia Zany,Unknown,Santa Teresa,-22.92016,-43.18071,Private room,120,2,20,10/01/2022,0.6,7,0,4,Unknown
13352,38388499.0,Quarto Familia Privado-Rock in Rio 4Pessoas,26748682,Rose Kaneko,Unknown,Curicica,-22.95073,-43.3842,Private room,300,1,1,13/02/2022,0.23,16,365,1,Unknown
13353,38389597.0,Small Copacabana apartment 2 min from beach,108631619,Arilton Dutra,Unknown,Leme,-22.962,-43.17109,Private room,70,1,11,24/05/2022,0.35,2,1,7,Unknown
13355,38906053.0,Próximo ao Parque Olímpico/Praia - Barra da Tijuca,155916918,Deyse,Unknown,Jacarepaguá,-22.96993,-43.38514,Private room,300,1,5,24/02/2020,0.15,1,0,0,Unknown
13360,38906901.0,Suite (ROCK IN RIO - JEUNESSE ARENA) 5 min a pé,163627330,Isabelle,Unknown,Jacarepaguá,-22.97098,-43.38862,Private room,600,1,4,10/11/2019,0.12,1,356,0,Unknown
13362,38908236.0,Zona Sul / RJ  -Apartamento aconchegante! Negocio.,164973604,Daniela,Unknown,Santa Teresa,-22.91957,-43.18139,Private room,200,2,0,No_reviews,0.0,1,180,0,Unknown
13364,38689444.0,Quarto disponível para o Rock um Rio,120878830,Lara,Unknown,Jacarepaguá,-22.97171,-43.3938,Private room,380,1,5,21/12/2021,0.15,1,260,1,Unknown
13365,38908990.0,Hotel Barra da Tijuca quarto 2,297672983,Hotel,Unknown,Barra da Tijuca,-23.00977,-43.29858,Private room,158,1,1,24/02/2020,0.04,9,364,0,Unknown
13370,38920573.0,Cantinho da Preta.,180583620,Aline,Unknown,Recreio dos Bandeirantes,-23.00766,-43.4837,Private room,100,1,10,25/01/2021,0.3,3,4,0,Unknown
13374,38412133.0,De frente para Praia Barra da Tijuca RJ,266331870,Luciana,Unknown,Barra da Tijuca,-23.00878,-43.35857,Private room,203,3,32,12/06/2022,0.96,2,91,15,Unknown
13375,38412547.0,quarto com banheiro e closet,292697009,Rosangela,Unknown,Ipanema,-22.98356,-43.20004,Private room,140,2,5,24/04/2022,0.15,1,325,3,Unknown
